customer_id,order_date,product_name,quantity,unit_price
C001,2024-01-03,Full Cream Milk 2L,4,3.50
C001,2024-01-10,Full Cream Milk 2L,4,3.50
C001,2024-01-10,Greek Yoghurt 500g,2,4.20
C001,2024-01-17,Full Cream Milk 2L,4,3.50
C001,2024-01-17,Butter 500g,1,5.80
C001,2024-01-24,Full Cream Milk 2L,4,3.50
C001,2024-01-24,Greek Yoghurt 500g,2,4.20
C002,2024-01-05,Trim Milk 1L,6,2.90
C002,2024-01-05,Cheese Slices 500g,1,7.50
C002,2024-01-12,Trim Milk 1L,6,2.90
C002,2024-01-12,Cheese Slices 500g,1,7.50
C002,2024-01-19,Trim Milk 1L,6,2.90
C002,2024-01-26,Trim Milk 1L,6,2.90
C002,2024-01-26,Cheese Slices 500g,1,7.50
C003,2024-01-08,Cream 300ml,3,3.20
C003,2024-01-08,Butter 500g,2,5.80
C003,2024-01-15,Cream 300ml,3,3.20
C003,2024-01-22,Cream 300ml,3,3.20
C003,2024-01-22,Greek Yoghurt 500g,1,4.20
C003,2024-01-29,Cream 300ml,3,3.20
C003,2024-01-29,Butter 500g,2,5.80
C004,2024-01-02,Full Cream Milk 2L,2,3.50
C004,2024-01-02,Greek Yoghurt 500g,3,4.20
C004,2024-01-09,Full Cream Milk 2L,2,3.50
C004,2024-01-16,Full Cream Milk 2L,2,3.50
C004,2024-01-16,Trim Milk 1L,2,2.90
C004,2024-01-23,Full Cream Milk 2L,2,3.50
C004,2024-01-23,Greek Yoghurt 500g,3,4.20
C005,2024-01-04,Cheese Slices 500g,2,7.50
C005,2024-01-04,Butter 500g,1,5.80
C005,2024-01-11,Cheese Slices 500g,2,7.50
C005,2024-01-18,Cheese Slices 500g,2,7.50
C005,2024-01-18,Cream 300ml,1,3.20
C005,2024-01-25,Cheese Slices 500g,2,7.50
C005,2024-01-25,Butter 500g,1,5.80
